ID,Name,lon,lat
RQE,Window Rock,-109.07,35.65
INW,Winslow,-110.72,35.03
YUX,Yuma/88D,-114.65,32.5
YUM,Yuma Intl,-114.58,32.63
NOZ,Yuma Aux,-114.45,32.5
NYL,Yuma Mcas,-114.62,32.63
1Y7,Yuma Prvg Groun,-114.4,32.5
BZA,Yuma (Vor),-114.6,32.77
GBN,Gila Bend (Aaf),-112.72,32.86
13A,Nogales,-110.85,31.42
0E4,Payson,-111.32,34.22
E74,Safford,-109.68,32.82
E03,Show Low,-110.03,34.25
T03,Tuba City,-111.38,36.1
P34,Window Rock,-109.07,35.65
NGZ,Alameda Nas,-122.32,37.77
AAT,Alturas,-120.57,41.48
APV,Apple Valley,-117.18,34.57
ACV,Arcata/Eureka,-124.1,40.98
AUN,Auburn Muni,-121.08,38.95
AVX,Avalon,-118.42,33.4
BFL,Bakersfield,-119.05,35.43
EHF,Bakersfield(Vor),-119.1,35.47
BAB,Beale Afb/Marysv,-121.42,39.11
BBX,Beale/Oro Dam,-121.63,39.5
BUO,Beaumont,-116.97,33.92
L35,Big Bear City,-116.85,34.27
BYS,Bicycle Lake,-116.62,35.28
BIH,Bishop,-118.35,37.36
BLH,Blythe,-114.72,33.61
L08,Borrego Springs,-116.31666666666666,33.266666666666666
O57,Bridgeport,-119.22,38.27
BAN,Bridgeport(Mcmwt,-119.52,38.35
BUR,Burbank,-118.37,34.2
BNY,Burney,-121.67,40.86
C83,Byron,-121.63333333333334,37.833333333333336
CXL,Calexico Intl,-115.5,32.67
CMA,Camarillo,-119.1,34.22
NFG,Camp Pendleton,-117.33,33.28
SYL,Camp Roberts,-120.7,35.75
CZZ,Campo,-116.47,32.63
CRQ,Carlsbad,-117.28,33.13
O59,Cedarville,-120.16666666666667,41.55
CIC,Chico Municipal,-121.83,39.78
NID,China Lake (Naf),-117.67,35.67
CNO,Chino,-117.62,33.97
O22,Columbia,-120.42,38.03
CCR,Concord,-122.05,38.0
AJO,Corona Muni,-117.6,33.9
CEC,Crescent City,-124.22,41.77
DAG,Daggett,-116.78,34.85
EDU,Davis,-121.78,38.53
DLO,Delano,-119.23333333333333,35.733333333333334
EDW,Edwards Afb,-117.87,34.88
EYX,Edwards Afb/88D,-117.57,35.1
9L2,Edwards N-Aux,-117.87,34.97
NJK,El Centro Naf,-115.67,32.82
EMT,El Monte,-118.02,34.07
BLU,Emigrant Gap,-120.7,39.28
EKA,Eureka/Murray,-124.17,40.79
L18,Fallbrook,-117.25,33.35
FOT,Fortuna,-124.13,40.54
FAT,Fresno,-119.72,36.78
CZQ,Fresno(Vor),-119.82,36.88
FCH,Fresno Chandler,-119.82,36.72
FUL,Fullerton,-117.98,33.86
GOO,Grass Valley,-121.0,39.22
HAF,Half Moon Bay,-122.5,37.52
HJO,Hanford,-119.62,36.32
HNX,Hanford/San Joaq,-119.63,36.32
O18,Hanford,-119.63,36.32
HHR,Hawthorne,-118.33,33.92
HWD,Hayward,-122.12,37.67
HES,Healdsburg,-122.9,38.65
HEC,Hector(Vor),-116.47,34.79
CVH,Hollister Muni,-121.42,36.9
BHX,Humboldt Cty/88D,-124.3,40.5
HGT,Hunter Ligget,-121.22,36.0
IPL,Imperial,-115.58,32.83
NRS,Imperial Beach,-117.12,32.57
IYK,Inyokern,-117.82,35.67
JAQ,Jackson,-120.8,38.38333333333333
POC,La Verne/Bracket,-117.77,34.1
WJF,Lancaster/Fox,-118.22,34.72
NLC,Lemoore Nas/Reev,-119.95,36.32
LHM,Lincoln,-121.35,38.92
LLR,Little River,-123.75,39.27
LVK,Livermore,-121.82,37.7
LPC,Lompoc,-120.47,34.67
LGB,Long Beach,-118.15,33.82
SLI,Los Alamitos Aaf,-118.03,33.77
LAX,Los Angeles,-118.38,33.93
LOX,Los Angeles/Oxna,-119.2,34.2
ZLA,Los Angels/Artcc,-118.08,34.63
CQT,Los Angeles,-118.28,34.02
WHP,La / Whiteman,-118.42,34.25
MAE,Madera,-120.12,36.97
MMH,Mammoth/June Lak,-118.82,37.61
MYV,Marysville,-121.57,39.1
MHR,Mather Field,-121.28,38.53
MCC,Mcclellan Afb,-121.4,38.67
MCE,Merced,-120.5,37.28
MER,Merced/Castle Af,-120.57,37.38
NKX,Miramar Nas/San,-117.13,32.86
MZB,Mission Bay Vor,-117.23,32.78
MOD,Modesto,-120.95,37.61
NUQ,Moffett Nas/Mtn,-122.05,37.4
MHV,Mojave,-118.15,35.07
SIY,Montague/Siskiyo,-122.47,41.77
MRY,Monterey,-121.85,36.58
MHS,Mount Shasta,-122.32,41.32
MWS,Mount Wilson,-118.05,34.22
F70,Murrieta/Temecul,-117.13,33.57
APC,Napa,-122.28,38.2
EED,Needles,-114.62,34.77
3A6,Newhall,-118.57,34.36
NZY,North Island Nas,-117.22,32.7
DVO,Novato/Gnoss Fld,-122.55,38.15
OAK,Oakland,-122.23,37.72
ZOA,Oakland/Artcc,-122.02,37.54
OKB,Oceanside,-117.35,33.22
NXF,Oceanside/Red-B,-117.45,33.28
ONT,Ontario,-117.58,34.04
SOX,Orange Cty/88D,-117.63,33.82
VBX,Orcutt Oil/Vbg,-120.4,34.83
OVE,Oroville,-121.62,39.5
OXR,Oxnard,-119.2,34.2
PSP,Palm Springs,-116.5,33.82
PMD,Palmdale,-118.08,34.63
GXA,Palmdale,-117.67,34.57
PAO,Palo Alto,-122.12,37.47
PRB,Paso Robles,-120.63,35.67
O69,Petaluma,-122.6,38.25
PVF,Placerville,-120.75,38.72
NTD,Point Mugu Nas,-119.12,34.11
PYE,Point Reyes Vor,-122.87,38.08
PTV,Porterville,-119.07,36.02
87Q,Pt. Piedras Blan,-121.28,35.67
RBL,Red Bluff,-122.25,40.15
RDD,Redding,-122.3,40.52
REI,Redlands,-117.15,34.08
O32,Reedley,-118.45,36.666666666666664
O88,Rio Vista,-121.7,38.2
RAL,Riverside,-117.45,33.95
RIV,Riverside/March,-117.27,33.86
RNM,Ramona,-116.92,33.03
SAC,Sacramento,-121.5,38.5
STO,Sacramento/Wfo,-121.5,38.5
RSA,Sacramento/Rfc,-121.5,38.5
DAX,Sacramento/88D,-121.68,38.5
SMF,Sacramento/Metro,-121.6,38.7
SNS,Salinas,-121.6,36.67
CPU,San Andreas,-120.65,38.15
SBD,San Bernardino,-117.25,34.08
SQL,San Carlos Airpo,-122.25,37.52
NUC,San Clemente Is.,-118.57,33.02
SAN,San Diego,-117.18,32.72
MYF,San Diego/Mntgmy,-117.13,32.82
SDM,San Diego/Brown,-117.0,32.58
SEE,San Diego/Santee,-116.97,32.82
SGX,San Diego/Wfo,-117.17,32.72
SFO,San Francisco,-122.37,37.61
SJC,San Jose,-121.92,37.36
RHV,San Jose/Reid,-121.82,37.32
SBP,San Luis Obispo,-120.63,35.22
L52,Oceano Cnty,-120.61666666666666,35.1
E16,San Martin,-121.6,37.08
NSI,San Nicolas Isla,-119.45,33.22
SDB,Sandberg,-118.72,34.75
SNA,Costa Mesa,-117.87,33.67
SBA,Santa Barbara,-119.85,34.43
RZS,Santa Barb(Vor),-119.77,34.52
MUX,Santa Clar/88D,-121.9,37.15
SMX,Santa Maria,-120.45,34.9
SMO,Santa Monica,-118.45,34.02
STS,Santa Rosa,-122.82,38.5
IZA,Santa Ynez,-120.07,34.6
O87,Shelter Cove,-124.07,40.02
TVL,South Lake Tahoe,-120.0,38.9
SCK,Stockton,-121.22,37.88
SVE,Susanville Muni,-120.57,40.36
TRM,Thermal/Palm Spg,-116.17,33.63
TOA,Torrance Municip,-118.32,33.78
TCY,Tracy,-121.45,37.68333333333333
SUU,Travis Afb/Fairf,-121.92,38.27
TRK,Truckee Tahoe,-120.12,39.32
TSP,Tehachapi,-118.43,35.13
O86,Trinity Center,-122.7,40.98
NXP,Twentynine Palms,-116.17,34.28
UKI,Ukiah,-123.2,39.11
ENI,Ukiah(Vor),-123.27,39.04
CCB,Upland,-117.68333333333334,34.11666666666667
VCB,Vacaville,-121.95,38.38
VNY,Van Nuys,-118.48,34.22
VBG,Vandenberg Afb,-120.58,34.72
XVW,Vandenberg Range,-120.57,34.72
VTX,Ventura Cty/88D,-119.18,34.42
VCV,Victorville,-117.38,34.58
VIS,Visalia Muni,-119.4,36.32
WVI,Watsonville,-121.78,36.93
O54,Weaverville,-122.92,40.75
O00,Alturas,-120.57,41.48
S11,Alturas,-120.52,41.5
92Q,Bodega Bay,-123.05,38.32
NRC,Crows Landing,-121.1,37.4
NZJ,El Toro Mcas,-117.72,33.67
OAR,Fort Ord/Fritzsc,-121.77,36.67
1O5,Montague/Yreka,-122.53,41.73
L32,Oceanside,-117.35,33.22
53Q,Pilar Point Afs,-122.5,37.5
PGU,Point Arguello,-120.35,34.57
PAA,Point Arena,-123.27,38.95
L39,Romona,-116.92,33.03
RIU,Rancho Murieta,-121.1,38.47
4SU,Superior Valley,-117.1,35.33
NTK,Tustin Mcas,-117.82,33.7
O45,Vacaville,-121.95,38.38
RIX,March Afb/88D,-117.43,33.54
DEN,Denver (Dia),-104.65,39.85
AKO,Akron,-103.22,40.17
ALS,Alamosa,-105.87,37.43
ASE,Aspen,-106.87,39.22
0CO,Berthoud Pass,-105.77,39.79
BOU,Boulder Den/Wfo,-105.33,40.0
BJC,Broomfield/Jeffc,-105.1,39.9
BKF,Buckley Angb/Den,-104.75,39.72
ITR,Burlington,-102.28,39.22
1V6,Canon City,-105.1,38.43
CWN,Cheyenne Mtn,-104.85,38.75
COS,Colorado Springs,-104.68,38.82
FLY,Co Spngs Meadow,-104.57,38.95
CEZ,Cortez,-108.63,37.29
CAG,Craig,-107.52,40.5
C99,Dakota Hill,-105.55,39.86666666666667
RCV,Del Norte,-106.35,37.72
APA,Denver/Arapahoe,-104.85,39.57
FTG,Denver F. Range,-104.55,39.78
ZDV,Denver/Artcc,-105.13,40.18
DNR,Denver/Stapleton,-104.87,39.75
DVC,Dove Creek,-108.92,37.79
DRO,Durango,-107.77,37.15
EGE,Eagle Co. Region,-106.92,39.63
DBL,Red Table Vor,-106.9,39.43
FCS,Fort Carson,-104.77,38.67
FNL,Ft Collins/Lovel,-105.02,40.45
GJT,Grand Junction,-108.52,39.11
JNC,Grand Junction,-108.8,39.07
GJX,Grand Junc/Mesa,-108.22,39.07
GXY,Greeley/Weld,-104.62,40.42
GUC,Gunnison,-106.92,38.52
HBU,Gunnison(Vor),-107.03,38.45
CHE,Hayden Vor,-107.22,40.47
HDN,Hayden/Yampa,-107.22,40.47
LHX,La Junta,-103.52,38.04
LAA,Lamar,-102.68,38.07
LXV,Leadville,-106.32,39.22
LIC,Limon,-103.67,39.27
C07,Walton Peak,-106.7,40.35
EEO,Meeker,-107.88,40.04
MTJ,Montrose,-107.9,38.5
AIB,Nucla/Hopkins F,-108.57,38.22
PEF,Peterson Afb,-104.72,38.78
PUX,Pueblo Cty 88D,-104.18,38.47
PUB,Pueblo,-104.5,38.28
RIL,Rifle,-107.73,39.53
04V,Saguache Muni,-106.17,38.1
SHM,Schriever Afb,-104.52,38.79
SPD,Springfield,-102.62,37.28
SBS,Steamboat Spring,-106.87,40.52
3MW,Mt Werner Sbs,-106.75,40.45
TEX,Telluride Region,-107.9,37.95
TBE,Tobe/Vor,-103.6,37.27
TAD,Trinidad/Animas,-104.33,37.27
AFF,Usaf Academy/Cos,-104.82,38.97
4V5,Durango(Awrs),-107.87,37.28
FCL,Fort Collins,-105.08,40.58
4FC,Fraser,-105.83,39.95
2V9,Gunnison/Awrs,-106.92,38.6
4LJ,Lamar,-102.62,38.08
S29,Salida,-106.02,38.52
C96,Winter Park,-105.87,40.0
2V6,Yuma,-102.71666666666667,40.1
FLA,Flagler,-103.07,39.28
72C,Kirk,-102.57,39.6
STK,Sterling,-103.27,40.61
