,WBAN #,STATION ID,STATION NAME,"LAT N/ LONG W (deg,min,sec)",ELEV (ft),TOWER HEIGHT (m),lat,lon,lat_deg,lon_deg
146,54764,KCCX,"State College, PA",405523 / 0780013,2405,20,405523,0780013,40.92305555555555,-78.00361111111111
147,93767,KLWX,"Sterling, VA",385831 / 0772840,272,25,385831,0772840,38.97527777777778,-77.47777777777777
148,93805,KTLH,"Tallahassee, FL",302351 / 0841944,63,30,302351,0841944,30.3975,-84.32888888888888
149,92801,KTBW,"Tampa, FL",274220 / 0822406,41,20,274220,0822406,27.705555555555556,-82.40166666666667
150,3986,KTWX,"Topeka, KS",385949 / 0961357,1367,10,385949,0961357,38.996944444444445,-96.2325
151,53112,KEMX,"Tucson, AZ",315337 / 1103749,5205,30,315337,1103749,31.89361111111111,-110.63027777777778
152,3984,KINX,"Tulsa, OK",361030 / 0953353,668,20,361030,0953353,36.175,-95.56472222222222
153,3995,KVNX,"Vance AFB, OK",364427 / 0980740,1210,10,364427,0980740,36.740833333333335,-98.12777777777777
154,93234,KVBX,"Vandenberg AFB, CA",345017 / 1202349,1223,20,345017,1202349,34.838055555555556,-120.39694444444446
155,3928,KICT,"Wichita, KS",373917 / 0972634,1335,10,373917,0972634,37.65472222222222,-97.44277777777778
156,93774,KLTX,"Wilmington, NC",335922 / 0782544,64,20,335922,0782544,33.989444444444445,-78.42888888888889
157,53116,KYUX,"Yuma, AZ",322943 / 1143924,174,10,322943,1143924,32.49527777777778,-114.65666666666667
